Country or subnational area,Estimate of civilian firearms per 100 persons,Region,Subregion,Population 2017,Estimate of firearms in civilian possession,Computation method,Registered firearms,Unregistered firearms,Crime Index,Safety Index
Nauru,0,Oceania,Melanesia,10000,,2,N/A,N/A,,
Nepal,1.5,Asia,South Asia,29187000,444000,2,"34,315","409,685",37.54,62.46
Netherlands,2.6,Europe,Western Europe,17033000,442000,1,"205,347","236,653",27.88,72.12
New Caledonia,42.5,Oceania,Melanesia,270000,115000,2,"55,000","60,000",,
New Zealand,26.3,Oceania,Australasia,4605000,1212000,2,"1,200,000","12,000",43.3,56.7
Nicaragua,5.2,Americas,Central America,6218000,323000,2,"142,260","180,740",47.89,52.11
Niger,0.5,Africa,West Africa,21564000,117000,2,"2,000","115,000",,
Nigeria,3.2,Africa,West Africa,191836000,6154000,2,N/A,N/A,63.84,36.16
North Korea,0.3,Asia,East Asia,25405000,76000,3,N/A,N/A,60.28,39.72
North Macedonia,29.8,Europe,Southern Europe,2083000,621000,2,"169,687","451,313",40.87,59.13
Northern Cyprus,17.4,Asia,Western Asia,349000,61000,2,"49,142","11,858",,
Northern Ireland,11,Europe,Western Europe,1873000,206000,1,"153,000","53,000",,
Northern Mariana Islands,2.6,Oceania,Micronesia,56000,1000,2,N/A,N/A,,
Norway,28.8,Europe,Northern Europe,5331000,1537000,2,"1,254,638","282,362",33.85,66.15
Oman,16.7,Asia,Western Asia,5312100,792000,3,N/A,N/A,19.99,80.01
Pakistan,22.3,Asia,South Asia,196744000,43917000,2,"6,000,000","37,917,000",42.01,57.99
Palau,0.5,Oceania,Melanesia,22000,100,2,N/A,N/A,,
Palestine,1.1,Asia,Western Asia,4952000,56000,2,N/A,N/A,43.23,56.77
Panama,10.8,Americas,Central America,4051000,436000,2,"180,000","256,000",43.92,56.08
Papua New Guinea,1,Oceania,Melanesia,7934000,79000,2,"27,043","51,957",81.19,18.81
Paraguay,16.7,Americas,South America,6812000,1140000,2,"392,000","748,000",49.2,50.8
Peru,2,Americas,South America,32166000,633000,2,"365,845","267,155",67.1,32.9
Philippines,3.6,Asia,South-East Asia,103797000,3776000,2,"1,739,000","2,037,000",42.33,57.67
Poland,2.5,Europe,Eastern Europe,38564000,968000,1,"380,000","588,000",29.79,70.21
Portugal,21.3,Europe,Southern Europe,10265000,2186000,1,"1,400,000","786,000",30.58,69.42
Puerto Rico,11.5,Americas,Caribbean,3679000,422000,2,N/A,N/A,62.2,37.8
Puntland,12.3,Africa,East Africa,1995000,246000,2,N/A,N/A,,
Qatar,16.7,Asia,Western Asia,2338000,390000,3,N/A,N/A,13.78,86.22
R�union,19.6,Africa,East Africa,873000,171000,3,N/A,N/A,,
Romania,2.6,Europe,Eastern Europe,19238000,506000,2,"210,000","296,000",28.79,71.21
Russia,12.3,Europe,Eastern Europe,143375000,17620000,2,"6,600,000","11,020,000",39.62,60.38
Rwanda,0.5,Africa,East Africa,12160000,66000,2,N/A,N/A,24.35,75.65
Saint Kitts and Nevis,3.4,Americas,Caribbean,57000,2000,3,N/A,N/A,,
Saint Lucia,3.4,Americas,Caribbean,188000,6000,3,N/A,N/A,,
Saint Martin,8.5,Americas,Caribbean,32000,3000,3,N/A,N/A,,
Saint Vincent and the Grenadines,3.4,Americas,Caribbean,110000,4000,3,"2,865","1,135",,
Samoa,10.1,Oceania,Polynesia,196000,20000,2,"4,000","16,000",,
San Marino,14.4,Europe,Southern Europe,32000,5000,3,N/A,N/A,,
Saudi Arabia,16.7,Asia,Western Asia,32743000,5468000,3,N/A,N/A,24.72,75.28
Scotland,5.6,Europe,Western Europe,5436000,305000,1,"187,000","118,000",,
Senegal,2,Africa,West Africa,16054000,323000,2,"7,053","315,947",,
Serbia,39.1,Europe,Southern Europe,6946000,2719000,2,"1,186,086","1,532,914",38.29,61.71
Seychelles,4.1,Africa,East Africa,98000,4000,2,N/A,N/A,,
S�o Tom� and Pr�ncipe,3.4,Africa,Central Africa,198000,7000,3,N/A,N/A,,
Sierra Leone,0.5,Africa,West Africa,6733000,35000,2,N/A,N/A,,
Singapore,0.3,Asia,South-East Asia,5785000,20000,3,795,"19,205",27.64,72.36
Sint Maarten,4.2,Americas,Caribbean,40000,2000,3,N/A,N/A,,
Slovakia,6.5,Europe,Central Europe,5432000,355000,2,"280,000","75,000",30.18,69.82
Slovenia,15.6,Europe,Southern Europe,2071000,324000,1,"127,094","196,906",22.65,77.35
Solomon Islands,0.2,Oceania,Melanesia,606000,1000,2,N/A,N/A,,
Somalia (South Central),12.4,Africa,East Africa,9225000,1145000,2,N/A,N/A,,
Somaliland,11.9,Africa,East Africa,3823000,456000,2,N/A,N/A,,
South Africa,9.7,Africa,Southern Africa,55436000,5351000,2,"3,000,000","2,351,000",76.06,23.94
South Korea,0.2,Asia,East Asia,50705000,79000,2,"39,530","39,470",26.49,73.51
South Sudan,9.6,Africa,East Africa,13096000,1255000,2,N/A,N/A,,
Spain,7.5,Europe,Southern Europe,46070000,3464000,1,"2,683,542","780,458",33.87,66.13
Sri Lanka,2.4,Asia,South Asia,20905000,494000,2,"35,000","459,000",41.21,58.79
Sudan,6.6,Africa,North Africa,42166000,2768000,2,"6,724","2,761,276",44.57,55.43
Suriname,15.9,Americas,South America,552000,88000,2,"30,000","58,000",,
Sweden,23.1,Europe,Northern Europe,9921000,2296000,1,"1,955,478","340,522",49,51
Switzerland,27.6,Europe,Western Europe,8454000,2332000,2,"791,719","1,540,281",21.68,78.32
Syria,8.2,Asia,Western Asia,18907000,1547000,2,N/A,N/A,67.48,32.52
Taiwan,0,Asia,East Asia,23405000,10000,2,"5,000","5,000",15.87,84.13
Tajikistan,0.4,Asia,Central Asia,8858000,37000,2,"9,863","27,137",,
Tanzania,0.8,Africa,East Africa,56878000,427000,2,"115,850","311,150",56.3,43.7
Thailand,15.1,Asia,South-East Asia,68298000,10342000,2,"6,221,180","4,120,820",39.31,60.69
Togo,0.8,Africa,West Africa,7692000,58000,2,"10,000","48,000",,
Tonga,8,Oceania,Polynesia,108000,9000,2,N/A,N/A,,
Trinidad and Tobago,3.2,Americas,Caribbean,1369000,43000,2,"10,550","32,450",,
Tunisia,1.1,Africa,North Africa,11495000,123000,3,"3,408","119,592",44.29,55.71
Turkey,16.5,Asia,Western Asia,80418000,13249000,2,"2,500,000","10,749,000",39.69,60.31
Turkmenistan,0.4,Asia,Central Asia,5503000,23000,3,N/A,N/A,,
Turks and Caicos Islands,3.3,Americas,Caribbean,35000,1000,2,300,700,,
Tuvalu,1.2,Oceania,Polynesia,10000,100,2,50,50,,
U.S. Virgin Islands,16.6,Americas,Caribbean,107000,18000,2,N/A,N/A,,
Uganda,0.8,Africa,East Africa,41653000,331000,2,"21,156","309,844",56.24,43.76
Ukraine,9.9,Europe,Eastern Europe,44405000,4396000,2,"800,000","3,596,000",46.94,53.06
United Arab Emirates,16.7,Asia,Western Asia,9398000,1569000,3,N/A,N/A,15.14,84.86
United States,120.5,Americas,North America,326474000,393347000,1,"1,073,743","392,273,257",48.16,51.84
Uruguay,34.7,Americas,South America,3457000,1198000,2,"605,313","592,687",51.44,48.56
Uzbekistan,0.4,Asia,Central Asia,30691000,127000,3,N/A,N/A,33.76,66.24
Vanuatu,3.9,Oceania,Melanesia,276000,11000,2,"4,700","6,300",,
Venezuela,18.5,Americas,South America,31926000,5895000,2,N/A,N/A,83.58,16.42
Vietnam,1.6,Asia,South-East Asia,95415000,1562000,2,N/A,N/A,45.81,54.19
Yemen,52.8,Asia,Western Asia,28120000,14859000,2,N/A,N/A,,
Zambia,0.9,Africa,East Africa,17238000,158000,2,"86,642","71,358",46.28,53.72
Zimbabwe,2.8,Africa,East Africa,16338000,455000,2,"190,685","264,315",59.67,40.33
